evaluations raw_y
1 -1527.0000000000
2 -1351.0000000000
3 -1323.0000000000
4 -1303.0000000000
7 -1090.0000000000
34 -1088.0000000000
62 -943.0000000000
468 -894.0000000000
2456 -884.0000000000
2489 -806.0000000000
2507 -728.0000000000
4301 -699.0000000000
6450 -621.0000000000
100000 -1225.0000000000
evaluations raw_y
1 -1469.0000000000
4 -1361.0000000000
5 -1205.0000000000
20 -1137.0000000000
56 -1118.0000000000
85 -1098.0000000000
146 -1078.0000000000
161 -1001.0000000000
193 -796.0000000000
218 -757.0000000000
65531 -748.0000000000
66775 -747.0000000000
66925 -738.0000000000
100000 -1108.0000000000
evaluations raw_y
1 -1566.0000000000
3 -1332.0000000000
5 -1069.0000000000
7 -1040.0000000000
9 -1020.0000000000
26 -972.0000000000
85 -971.0000000000
95 -709.0000000000
100000 -1390.0000000000
evaluations raw_y
1 -1021.0000000000
27 -1011.0000000000
100 -1010.0000000000
115 -952.0000000000
173 -933.0000000000
393 -904.0000000000
880 -894.0000000000
1646 -874.0000000000
3808 -816.0000000000
100000 -1420.0000000000
evaluations raw_y
1 -1517.0000000000
2 -1079.0000000000
40 -1020.0000000000
81 -914.0000000000
463 -884.0000000000
884 -816.0000000000
2120 -680.0000000000
4485 -670.0000000000
64622 -660.0000000000
100000 -1303.0000000000
evaluations raw_y
1 -1527.0000000000
2 -1468.0000000000
3 -1458.0000000000
4 -1147.0000000000
25 -1089.0000000000
83 -748.0000000000
34716 -738.0000000000
64837 -729.0000000000
64998 -709.0000000000
100000 -1001.0000000000
evaluations raw_y
1 -1683.0000000000
2 -1245.0000000000
5 -1020.0000000000
177 -933.0000000000
482 -922.0000000000
578 -913.0000000000
65394 -845.0000000000
82408 -816.0000000000
100000 -1449.0000000000
evaluations raw_y
1 -982.0000000000
109 -943.0000000000
197 -865.0000000000
518 -855.0000000000
761 -786.0000000000
1058 -651.0000000000
100000 -1537.0000000000
evaluations raw_y
1 -1508.0000000000
3 -1079.0000000000
90 -943.0000000000
261 -913.0000000000
395 -904.0000000000
417 -875.0000000000
553 -845.0000000000
1128 -671.0000000000
100000 -1371.0000000000
evaluations raw_y
1 -1215.0000000000
16 -1176.0000000000
29 -991.0000000000
261 -972.0000000000
677 -933.0000000000
1120 -874.0000000000
1212 -855.0000000000
3142 -846.0000000000
39021 -817.0000000000
46615 -778.0000000000
70348 -739.0000000000
100000 -1177.0000000000
