evaluations raw_y
1 1.0000000000
94 4.0000000000
256 8.0000000000
259 10.0000000000
586 11.0000000000
673 12.0000000000
1034 13.0000000000
1088 16.0000000000
1805 18.0000000000
2777 21.0000000000
2785 22.0000000000
3003 23.0000000000
4460 28.0000000000
4702 29.0000000000
4923 32.0000000000
4933 34.0000000000
5010 36.0000000000
5615 39.0000000000
5845 40.0000000000
5884 42.0000000000
6104 44.0000000000
6218 46.0000000000
6300 50.0000000000
7006 54.0000000000
7104 55.0000000000
7700 56.0000000000
7820 58.0000000000
7862 60.0000000000
8069 62.0000000000
8305 65.0000000000
8341 67.0000000000
8404 68.0000000000
8808 70.0000000000
8892 72.0000000000
8982 75.0000000000
9488 77.0000000000
9780 78.0000000000
10039 82.0000000000
10398 83.0000000000
10700 84.0000000000
10914 85.0000000000
11398 89.0000000000
11450 91.0000000000
11610 95.0000000000
11621 99.0000000000
11736 100.0000000000
evaluations raw_y
1 88.0000000000
657 99.0000000000
883 100.0000000000
evaluations raw_y
1 99.0000000000
34 100.0000000000
evaluations raw_y
1 17.0000000000
126 49.0000000000
787 99.0000000000
1071 100.0000000000
evaluations raw_y
1 46.0000000000
4 59.0000000000
130 83.0000000000
674 100.0000000000
evaluations raw_y
1 60.0000000000
28 83.0000000000
279 99.0000000000
327 100.0000000000
evaluations raw_y
1 99.0000000000
406 100.0000000000
evaluations raw_y
1 45.0000000000
88 99.0000000000
206 100.0000000000
evaluations raw_y
1 99.0000000000
705 100.0000000000
evaluations raw_y
1 99.0000000000
56 100.0000000000
evaluations raw_y
1 0.0000000000
379 4.0000000000
3735 7.0000000000
4901 10.0000000000
38814 11.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
1809 8.0000000000
14362 9.0000000000
17805 10.0000000000
92619 11.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
473 2.0000000000
1114 3.0000000000
1411 5.0000000000
3125 7.0000000000
16078 9.0000000000
16103 10.0000000000
77029 12.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
590 3.0000000000
1806 4.0000000000
2986 5.0000000000
4048 6.0000000000
8994 9.0000000000
22008 10.0000000000
88165 12.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
175 3.0000000000
1104 5.0000000000
5472 10.0000000000
12866 12.0000000000
100000 5.0000000000
evaluations raw_y
1 5.0000000000
79 7.0000000000
140 10.0000000000
24252 12.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
510 4.0000000000
2065 8.0000000000
2273 9.0000000000
33303 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
264 5.0000000000
3438 6.0000000000
3449 8.0000000000
9193 10.0000000000
9577 11.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
117 1.0000000000
120 2.0000000000
1287 4.0000000000
4537 5.0000000000
5302 8.0000000000
5309 10.0000000000
6547 11.0000000000
12885 12.0000000000
100000 3.0000000000
evaluations raw_y
1 3.0000000000
1014 4.0000000000
1092 6.0000000000
4644 7.0000000000
4657 8.0000000000
4721 10.0000000000
57952 11.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
9 4.0000000000
39 6.0000000000
121 7.0000000000
145 14.0000000000
571 16.0000000000
958 19.0000000000
1074 24.0000000000
1153 28.0000000000
1188 31.0000000000
2001 32.0000000000
2068 33.0000000000
2244 34.0000000000
2283 37.0000000000
2941 39.0000000000
3930 40.0000000000
3988 41.0000000000
4491 42.0000000000
4519 43.0000000000
4533 45.0000000000
4678 46.0000000000
4944 47.0000000000
4974 49.0000000000
5786 52.0000000000
6093 53.0000000000
6467 54.0000000000
6726 55.0000000000
6813 56.0000000000
6902 57.0000000000
6932 59.0000000000
7238 61.0000000000
7397 63.0000000000
8366 65.0000000000
8720 66.0000000000
8797 67.0000000000
8957 71.0000000000
9030 72.0000000000
9253 74.0000000000
9814 76.0000000000
10251 78.0000000000
10450 80.0000000000
10501 81.0000000000
11137 84.0000000000
11369 86.0000000000
11849 88.0000000000
11861 91.0000000000
12110 92.0000000000
12350 94.0000000000
12913 95.0000000000
13071 97.0000000000
13098 98.0000000000
13647 100.0000000000
evaluations raw_y
1 98.0000000000
14 100.0000000000
evaluations raw_y
1 98.0000000000
86 100.0000000000
evaluations raw_y
1 43.0000000000
2 59.0000000000
4 98.0000000000
8 100.0000000000
evaluations raw_y
1 98.0000000000
101 100.0000000000
evaluations raw_y
1 45.0000000000
9 83.0000000000
13 98.0000000000
133 100.0000000000
evaluations raw_y
1 98.0000000000
202 100.0000000000
evaluations raw_y
1 98.0000000000
130 100.0000000000
evaluations raw_y
1 98.0000000000
580 100.0000000000
evaluations raw_y
1 98.0000000000
2 100.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
8 3.0000000000
15 4.0000000000
42 13.0000000000
71813 14.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
1362 3.0000000000
1903 4.0000000000
5059 10.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
236 3.0000000000
259 5.0000000000
10865 7.0000000000
41880 8.0000000000
41995 10.0000000000
83090 11.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
48 3.0000000000
6174 4.0000000000
7403 7.0000000000
7903 9.0000000000
8423 10.0000000000
8425 14.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
10 6.0000000000
237 7.0000000000
7205 8.0000000000
13155 9.0000000000
13497 10.0000000000
46933 12.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
251 1.0000000000
1490 2.0000000000
